decision_id,date,status,category,title,decision,reason,impact_scope,superseded_by
D-001,2026-05-18,已執行,部署,Streamlit Cloud 雲端部署,儀表板部署到 GitHub 與 Streamlit Community Cloud,讓手機與電腦關閉時仍可查看,前台與更新流程,
D-002,2026-05-19,已執行,更新機制,資料更新改走 GitHub Actions,市場資料與新聞更新應盡量不依賴 Codex 常駐,降低人工介入與本機依賴,資料更新與快取,
D-003,2026-05-20,已執行,持倉,新增我的持倉監控,加入持倉頁總覽風險警示與操作建議,讓個人投資部位與市場風險連動可視化,持倉頁與組合分析,
D-004,2026-05-21,已執行,探索,候選觀察股改為每日 Top 15 紀錄,系統每天記錄 Top 15 但前台預設顯示 Top 5,兼顧資訊密度與可讀性,候選觀察股與歷史排行,
D-005,2026-05-22,已執行,知識圖譜,建立 KG v2 基礎架構,以 Fact Narrative Market Reaction 為核心,避免系統退化成情緒化摘要,金融知識圖譜,
D-006,2026-05-23,已執行,治理,資料治理採分層處理,正式資料觀察資料拒收資料分層並對不確定資訊設保留期,降低垃圾資料污染,新聞與治理流程,
D-007,2026-07-15,已執行,記憶,建立專案記憶系統,避免聊天壓縮後遺失重要上下文與已確認決策,專案管理與長期維運,
D-008,2026-07-17,已執行,資料健康,增加最新掃描時間與掃描結果,區分最後一筆符合條件資料與系統最後一次掃描避免誤判未更新,資料健康檢查與大盤事件窗,
D-009,2026-07-17,已執行,LSTM,分離訓練特徵與日常監控特徵並加入即時推論,避免每6小時更新覆蓋訓練資料；即時推論不等待未來報酬標籤,模型資料層與預測頁,
D-010,2026-07-24,已執行,知識圖譜,KG 預測 V2 多因子趨勢觀察,KG V2 改為事實、敘事、技術、市場壓力與跨來源確認的多因子趨勢觀察；保留 V1，結果以實際報酬與最大回撤呈現。,降低單一來源與二元命中標籤造成的假確定性，保留可回測的原始數值。,金融知識圖譜、預測頁、量化數據中心、雲端更新快取,
D-011,2026-07-24,已執行,記憶,專案記憶受控寫入流程,已確認決策與完成的功能必須經結構化寫入器更新長期記憶、討論摘要、上下文、決策登錄與變更紀錄，再重建 Word。,GitHub Actions 能重建 Word，但無法理解私人聊天內容；必須避免未確認討論被誤寫為既定規則。,專案記憶、Word 摘要、Streamlit 記憶頁、例行檢查流程,
D-012,2026-07-24,待執行,回測,分層隨機歷史回測與多來源資料方向,建立以分層隨機歷史日期為主的回測資料集，納入消息、情緒、技術、基本面與市場反應；同一事件須要求獨立來源確認。,避免近年多頭偏誤與同一媒體重複報導污染，同時保留時間點正確性與資料覆蓋率。,KG 歷史回測、資料來源、技術面、基本面、來源治理,
D-013,2026-07-24,已執行,回測,分層歷史市場樣本基線已建立,建立固定 seed 的 500 個分層歷史市場樣本，納入當時技術、量能、VIX、HYG 與後續 1D/5D/20D 實際報酬及回撤。,先建立不含未來洩漏的市場技術基線，再逐步補齊多來源 KG 新聞與 point-in-time 基本面。,歷史回測、量化數據中心、資料治理,
D-014,2026-07-24,已執行,資料治理,KG 新聞出版者與跨來源識別修正,Google News RSS 需讀取原始出版者網址與網域，不可把 Google 轉址當成唯一來源；KG 跨來源確認依出版者網域計算。,避免不同媒體被誤判為單一 Google 來源，也避免同一家轉載被虛增為多重證據。,新聞抓取、新聞品質、金融知識圖譜、KG V2 信心,
